time_s,ers_H,ers_M,ers_Lharvest,ers_Lderate,most_likely_ers,most_likely_override,most_likely_tyre,true_SOC,true_temperature_C,true_voltage_V,true_current_A,true_ers,brier
0.0,0.0808255251326504,0.85254802461976,0.0307679216405945,0.0358585286069951,M,available,moderate,0.5,298.15,679.49431867315,-205.292202840264,M,0.03050734963244406
1.0,0.0894859960343564,0.8510133454547105,0.0284180749383444,0.0310825835725885,M,available,moderate,0.487745776251631,299.673851585497,627.358321423204,-254.884241373597,M,0.03197848070360658
2.0,0.0965094068397717,0.8479472801499793,0.0269434878607906,0.0285998251494581,M,available,moderate,0.473863505873976,301.585038252278,628.371935046095,-250.598110741309,M,0.03397799675903759
3.0,0.1022566055454572,0.8443856430154498,0.0260392531840744,0.0273184982550184,M,available,moderate,0.46158078042518,303.205067509101,649.696747785492,-226.932525564234,M,0.03609658453068802
4.0,0.1069960391267137,0.8408425708095235,0.0254983003045908,0.0266630897591719,M,available,moderate,0.46158078042518,303.205067509101,649.696747785492,-226.932525564234,M,0.038140323329255536
5.0,0.1109288781375484,0.8375538901271371,0.0251846956881988,0.0263325360471156,M,available,moderate,0.438343227375112,305.968502966596,655.493944363774,-216.774842782597,M,0.040021625969261135
6.0,0.1142082780774513,0.8346107024994536,0.0250110992977081,0.026169920125387,M,available,moderate,0.426255049266122,307.425397730844,645.063319150764,-224.515800344274,M,0.04170757031658964
7.0,0.1169529770277814,0.8320311743141756,0.0249222432804146,0.0260936053776282,M,available,moderate,0.416244255134709,308.491792907941,786.397804066775,-87.8350627437326,M,0.043193519689667184
8.0,0.1192566390443311,0.8297985960686675,0.0248835858007732,0.026061179086228,M,available,moderate,0.413717916085545,308.604437508037,878.265684552532,0.0,M,0.044489041754015385
9.0,0.1214355620347429,0.8291420044136596,0.0211036010317492,0.0283188325198481,M,spent,moderate,0.420382799657148,309.980155581239,1339.25283518293,437.5,Lharvest,1.661263175398091
10.0,0.1231761325661143,0.8280785186196677,0.0193180089932153,0.0294273398210025,M,spent,moderate,0.451240477585843,317.209013507141,1265.76875585537,363.585581086264,Lharvest,1.6634895284472604
11.0,0.1246083985083654,0.8269881164126434,0.0183139522788811,0.03008953280011,M,spent,moderate,0.462740318464836,318.978685109141,963.843516943135,77.1333190906495,Lharvest,1.6640494739409912
12.0,0.1256265566285877,0.8252380847089965,0.0212543019632567,0.027881056699159,M,spent,moderate,0.4644190518185,319.021979805298,882.650154986497,0.0,M,0.047552857441142654
13.0,0.1264906329196269,0.8236931550260894,0.0230169507602321,0.0267992612940514,M,spent,moderate,0.4644190518185,319.021979805298,882.650154986497,0.0,M,0.04833196422926812
14.0,0.1272406570666778,0.8224366405275559,0.0240171275175993,0.0263055748881668,M,spent,moderate,0.464422250697276,319.007413479183,882.650398613105,0.0,M,0.04898773712229387
15.0,0.1278969168397682,0.8214593756486004,0.0245290722697406,0.0261146352418907,M,available,moderate,0.461979954801241,319.098709777314,786.497898057429,-91.0118971215067,M,0.04951802544113733
16.0,0.1284688436269477,0.8207052596473157,0.0247618220126553,0.0260640747130812,M,available,moderate,0.454453321622535,319.752581347975,649.181226471721,-220.395956332306,M,0.049943331521017126
17.0,0.1195418494867379,0.8239650445254474,0.0267400963233816,0.0297530096644329,M,available,moderate,0.443654014737844,320.997207151665,623.595423068231,-243.374974120679,M,0.046878833663113184
18.0,0.1058824998765021,0.8290537050085475,0.0296429968242136,0.0354207982907365,M,available,moderate,0.431186376956955,322.551238495871,600.265480539899,-263.937674253,H,1.4889094900277664
19.0,0.0971909902295833,0.8333103953996963,0.0312571970059072,0.0382414173648129,M,available,moderate,0.418904262339288,324.2287932459,608.860885604131,-254.387848326276,M,0.03967093123034845
20.0,0.0917713074441889,0.8368922406578566,0.0320297666042126,0.0393066852937416,M,available,moderate,0.406900727567625,325.824371662439,637.036876915944,-226.525279230512,M,0.037597035485131984
21.0,0.088531716705453,0.8398403008232064,0.0322690580444783,0.0393589244268623,M,available,moderate,0.395300807967264,327.160843524822,674.246871673959,-190.359504644021,M,0.03607941114233298
22.0,0.0867577957167388,0.8421834610683397,0.0321846746934335,0.0388740685214877,M,available,moderate,0.386244099602833,328.101616233962,689.304141906196,-175.319838331195,M,0.03498002156653108
23.0,0.0859746964877329,0.8439671917772935,0.0319165146757486,0.038141597059225,M,available,moderate,0.376217855992791,329.090338322198,687.985024863619,-175.526076561148,M,0.03421133101329725
24.0,0.0858624288720902,0.8452538120738449,0.0315555884234562,0.0373281706306087,M,available,moderate,0.367435389429359,329.887533182988,714.293510348714,-150.097276866739,M,0.03370788685287007
25.0,0.0862027960038413,0.8461146500620693,0.0311591041094993,0.0365234498245899,M,available,moderate,0.360733021747448,330.443607969547,721.530525503225,-142.703321633601,M,0.03341647512039521
26.0,0.0868455315940887,0.8466221023966327,0.0307613877914275,0.0357709782178509,M,available,moderate,0.351636569263903,331.194633642821,709.505993584136,-153.010268049654,M,0.03329275169260543
27.0,0.0945346680093114,0.8459153771505644,0.0285381947779285,0.0310117600621955,M,available,moderate,0.34359684315481,331.87730480384,757.153550993889,-107.982390732575,M,0.0344550322776217
28.0,0.1007430319304836,0.8435896236825718,0.027129588358925,0.0285377560280194,M,available,moderate,0.338724151025377,332.126278332863,799.227809806409,-68.5118724564802,M,0.036163782385945406
29.0,0.1060335417093823,0.8420549809112937,0.0222670799162591,0.0296443974630648,M,spent,moderate,0.342143311343934,332.939789584974,1344.637096757,437.5,Lharvest,1.6771401561613817
30.0,0.1103051873882718,0.8396750260205893,0.0199350004710493,0.0300847861200896,M,spent,moderate,0.36552452535671,338.787357496265,1332.76447893329,426.588710954527,Lharvest,1.6786538813450127
