time_s,true_SOC,true_temperature_C,true_voltage_V,true_current_A
0,0.5,298.15,679.49431867315,-205.292202840264
0.258573102563628,0.496981400753746,298.498637649334,666.469798026237,-217.782020250416
0.517146205127256,0.49378968458362,298.889253773907,653.346892706965,-230.271837660567
0.619026248186134,0.492505245594065,299.049949174065,648.153961934473,-235.192933949887
0.755050359825645,0.4907579994568,299.272900405782,640.501322852852,-242.459242977575
0.814685347943485,0.489976508785527,299.374699893684,636.289133538203,-246.491044110459
0.874320336061325,0.489182273427153,299.479900314403,632.06842611022,-250.522845243343
0.933955324179164,0.488376375648555,299.588268931403,628.524179154477,-253.871127064961
0.959252039918861,0.488031851229175,299.634972130639,627.886776338334,-254.425223853873
0.980208009973842,0.487745776251631,299.673851585497,627.358321423204,-254.884241373597
1.00116398002882,0.487459187197364,299.712878908719,626.829510920568,-255.343258893321
1.04312933093991,0.486883742651406,299.791476033829,625.769472803946,-256.262463837736
1.21233024247271,0.484542630792755,300.114485569417,621.480793989996,-259.968624065254
1.28446350625497,0.483534834043446,300.255043974418,619.84696359762,-261.348130218328
1.30510950668027,0.483245836496443,300.295444290554,620.08292534293,-261.042713741017
1.32575550710557,0.482957103330281,300.335778892865,620.319115652221,-260.737297263706
1.34640150753087,0.482668702090428,300.376028808712,620.555558353736,-260.431880786395
1.5528615117839,0.479803378156193,300.773764254525,622.933906367852,-257.377716013286
1.83670260692691,0.475921093169468,301.306097353814,626.445301980297,-252.980474692156
1.98914882113174,0.473863505873976,301.585038252278,628.371935046095,-250.598110741309
2.02005718705489,0.473448064386495,301.641168215124,628.112775503426,-250.758341623069
2.05096555297803,0.473032211371819,301.697425395641,627.59199359697,-251.176699354444
2.08187391890118,0.472615719914784,301.753871394088,627.070771491705,-251.59505708582
2.11278228482432,0.472198534502441,301.81052159287,626.549089512673,-252.013414817195
2.23672942063507,0.47051857334529,302.03976589094,624.452417907356,-253.691091426732
2.31965353911351,0.469388680672562,302.19491052841,623.152510240943,-254.708208715838
2.33011347026254,0.469246047855193,302.214518484629,623.651208518079,-254.183711521082
2.34057340141157,0.469103674024584,302.234057120819,624.150101579609,-253.659214326327
2.3510333325606,0.468961591130994,302.253517735705,624.649199753389,-253.134717131572
2.45563264405088,0.467556984528263,302.443823234431,629.651371113943,-247.889745184018
2.55140773897732,0.466298250881244,302.610875240755,634.778147162047,-242.567617253853
2.64718283390376,0.465069564500563,302.770173312543,640.911279470904,-236.275411026478
2.71662942934435,0.464198423283059,302.880661902592,645.370950297079,-231.712927422188
2.76223906814803,0.463635208236135,302.951002557495,648.073264604354,-228.944255204752
2.77517268999326,0.463476493551985,302.970703394503,648.197746574857,-228.789506770866
2.78810631183848,0.46331792880696,302.990369139973,648.322306242871,-228.63475833698
2.80103993368371,0.463159474996415,303.01000934789,648.446932172052,-228.480009903094
2.93037615213596,0.46158078042518,303.205067509101,649.696747785492,-226.932525564234
4.22373833665845,0.446392666608979,305.021484940227,662.77515170041,-211.228185995041
4.3035761926448,0.44548964325931,305.125829673559,663.159502997336,-210.688177081946
4.34680799562948,0.445000776229732,305.18233176811,662.64784796997,-211.09433828682
4.39003979861417,0.444510583835316,305.239158853233,661.736112468801,-211.887965778655
4.43327160159885,0.44401865168769,305.296407511198,660.823464739981,-212.681593270491
4.47650340458354,0.443524878702344,305.354102722668,659.909873704595,-213.475220762326
4.61803344292683,0.441896648868554,305.545869312692,657.175506770164,-215.818816397718
4.67296504621499,0.441260921521249,305.621235611816,656.768865458901,-216.092603141153
