time_s,speed_kmh,throttle_pct,brake,gap_s,active_aero,sector,lap,tyre_life
6988.145,310.0,99.0,0.0,0.12030806302856835,0.0,0,18,15.0
6989.145,316.0,99.0,0.0,4.441509325669318,0.0,0,18,15.0
6990.145,317.0,99.0,0.0,4.518126399248421,0.0,0,18,15.0
6991.145,317.33333333333206,100.0,0.0,4.586204792065354,0.0,0,18,15.0
6992.145,317.0,99.0,0.0,4.657776513393556,0.0,0,18,15.0
6993.145,317.5000000000014,99.0,0.0,4.612837730664592,0.0,0,18,15.0
6994.145,317.0,99.0,0.0,4.539729975853041,0.0,0,18,15.0
6995.145,316.85714285714334,99.0,0.0,0.026635679336443417,0.0,0,18,15.0
6996.145,307.49999999999716,99.0,0.0,0.03897424272565254,0.0,0,18,15.0
6997.145,293.62999999997885,54.954999999749774,0.0,0.12572165528525878,0.0,0,18,15.0
6998.145,183.499999999946,1.0,1.0,0.04900770015533116,0.0,0,18,15.0
6999.145,112.74999999997868,0.0,1.0,1.0263462179589282,0.0,0,18,15.0
7000.145,76.49999999999052,0.16666666666982466,1.0,0.9881932679458262,0.0,0,18,15.0
7001.145,71.0,20.285714285661385,0.0,1.1446670581811338,0.0,0,18,15.0
7002.145,67.66666666667004,23.33333333334007,0.0,1.5762293796884908,0.0,0,18,15.0
7003.145,88.39501779362307,56.81138790039509,0.0,2.1120806773882075,0.0,0,18,15.0
7004.145,129.57788944725183,84.98994974875083,0.0,2.7312267149653344,0.0,0,18,15.0
7005.145,169.0,99.0,0.0,3.3029157928055097,0.0,0,18,15.0
7006.145,218.25000000001918,99.74999999999787,0.0,3.660727079744924,0.0,0,18,15.0
7007.145,245.0,99.0,0.0,3.8608263348599428,0.0,0,18,15.0
7008.145,265.20000000000636,99.6000000000009,0.0,4.071208897428018,0.0,0,18,15.0
7009.145,275.68421052631976,100.0,0.0,4.200558928213349,0.0,0,18,15.0
7010.145,283.2437500000044,100.0,0.0,4.310561625266853,0.0,0,18,15.0
7011.145,287.0,100.0,0.0,4.396332457469939,0.0,0,18,15.0
7012.145,287.0,100.0,0.0,4.442705119182085,0.0,0,18,15.0
7013.145,285.4545454545424,100.0,0.0,4.775115079771598,0.0,0,18,15.0
7014.145,283.0,100.0,0.0,4.8739162441512995,0.0,0,18,15.0
7015.145,287.60000000000093,99.0,0.0,0.025439061798166455,0.0,0,18,15.0
7016.145,292.60000000000184,99.8000000000009,0.0,0.05070334049904735,0.0,1,18,15.0
7017.145,284.00833333332747,99.0,0.0,0.093841307650893,0.0,1,18,15.0
7018.145,221.49999999996447,3.4999999999928946,1.0,0.07943110497895894,0.0,1,18,15.0
7019.145,131.9999999999818,0.19999999999909046,1.0,0.011504541391431694,0.0,1,18,15.0
7020.145,99.3333333333207,4.500000000028422,1.0,1.9610291615586362,0.0,1,18,15.0
7021.145,97.28571428573935,41.42857142859927,0.0,2.4570479326850623,0.0,1,18,15.0
7022.145,118.0,61.0,0.0,2.87289469723146,0.0,1,18,15.0
7023.145,149.2321428571806,99.0,0.0,3.3036083462373713,0.0,1,18,15.0
7024.145,178.3800000000141,99.0,0.0,3.4847610237271867,0.0,1,18,15.0
7025.145,196.7142857142899,99.0,0.0,3.4516181476880137,0.0,1,18,15.0
7026.145,212.80000000000547,99.0,0.0,3.335270897074143,0.0,1,18,15.0
7027.145,222.20000000000317,63.249999999978115,1.0,3.199395234596254,0.0,1,18,15.0
7028.145,199.0,17.0,1.0,3.1669434564867904,0.0,1,18,15.0
7029.145,189.66666666667004,73.00000000001768,0.0,3.4416510916459364,0.0,1,18,15.0
7030.145,198.2437500000044,100.0,0.0,3.545540451938922,0.0,1,18,15.0
7031.145,212.0,99.0,0.0,3.424627745030006,0.0,1,18,15.0
7032.145,222.14285714285992,99.0,0.0,3.1839611720785697,0.0,1,18,15.0
7033.145,218.99999999999716,99.0,0.0,3.012874373550676,0.0,1,18,15.0
7034.145,181.9999999999801,8.500000000009948,1.0,3.1216761682649405,0.0,1,18,15.0
7035.145,172.0,70.25000000002132,0.0,3.407464028180678,0.0,1,18,15.0
7036.145,197.9812500000132,99.99375000000441,0.0,3.814709020486901,0.0,1,18,15.0
7037.145,230.32500000000587,99.0,0.0,4.160881032573852,0.0,1,18,15.0
7038.145,252.33333333333965,99.16666666666983,0.0,4.493018671662859,0.0,1,18,15.0
7039.145,271.14285714285995,100.0,0.0,4.723102729325817,0.0,1,18,15.0
7040.145,284.4444444444484,100.0,0.0,4.861046108825641,0.0,1,18,15.0
7041.145,291.18181818182194,99.90909090908903,0.0,4.986579931823022,0.0,1,18,15.0
